term,log10(ColonyVol)_estimate,log10(ColonyVol)_std.error,log10(OuterSA)_estimate,log10(OuterSA)_std.error,logit(Sphericity)_estimate,logit(Sphericity)_std.error,logit(Convexity)_estimate,logit(Convexity)_std.error,log10(Packing)_estimate,log10(Packing)_std.error,logit(FractalDimension)_estimate,logit(FractalDimension)_std.error,log10(SAVol)_estimate,log10(SAVol)_std.error,log10(ColonyVol2ndMomentVertScaled)_estimate,log10(ColonyVol2ndMomentVertScaled)_std.error,log10(ColonySA2ndMomentVertScaled)_estimate,log10(ColonySA2ndMomentVertScaled)_std.error
Arborescent,2.88282860956862,0.5010076178181172,2.436013267518306,0.281445828280986,1.0993907405898187,0.8027593599131472,-0.3134817901740894,1.2760897312309227,-0.3554498077602738,0.17477868758704534,-2.791719773020146,0.7349048230704313,-0.4468153420503167,0.3552047248059638,-0.24684412988955204,0.32571933366005856,0.5204321789421138,0.4095724785839833
Digitate,3.0371941031970615,0.538560819987822,2.628504962137849,0.3025416993084259,1.0103021751627268,0.8629304700206691,1.0208193185976797,1.3717394857641885,-0.05518190926417399,0.18787928557494812,-1.496880016422233,0.7899898725082904,-0.40868914105921567,0.38182921985928103,-0.2607419515121719,0.35013374085168386,0.6714092950288066,0.44027212773980745
Laminar,2.2800064027144455,0.5244763631731933,2.336256007679907,0.29462962078286536,0.41399957203385296,0.8403630895355677,0.01497387798651767,1.3358657184362874,-0.11068766009775857,0.18296586152731042,-1.886832875608006,0.7693300364593394,0.056249604965459166,0.3718436119983286,-0.1456732465698563,0.3409770339963997,0.892608852057596,0.42875811940556546
Massive,2.797645004953056,0.5359816708487907,2.6133366218475333,0.3010928375748336,0.7859469790299283,0.8587979258470175,1.587278756994844,1.3651702728129678,0.07851838018366064,0.1869795381747503,-2.236671993498314,0.7862066383332361,-0.18430838310552589,0.38000065293218943,-0.33836521830832567,0.34845696247726765,0.7105866239816787,0.43816367974831544
Submassive,2.777770981935377,0.64265094985951,2.3079198094855577,0.36101532680573867,1.8942171915794008,1.0297130159487582,1.9217429652909337,1.6368618933439778,-0.1484743539954693,0.2241915803240138,0.40825713080898307,0.9426748532474493,-0.4698511724498197,0.45562711159016595,-0.8392045811116927,0.4178057013900235,-0.08120429037481869,0.5253655494193816
Tabular,3.146080586986818,0.5577208442253899,2.836553291320296,0.3133050264508561,0.4718252350256238,0.893630380053682,0.43565365758672336,1.420540959654296,0.050079934800939474,0.19456334340417217,-0.9873462731058196,0.8180948228554661,-0.3095272956665238,0.3954133069959592,-0.4220422551349484,0.362590218768626,0.6069917144092435,0.45593539978921316
log10(PlanarArea_cm2):Arborescent,1.217263842114993,0.19402632338770232,1.1190680660012027,0.10899614567136351,-0.8842696950051419,0.3108863850161218,-0.5158394213639017,0.4941940802054282,0.1537671121009782,0.06768692721026318,0.8590228307080754,0.28460820911511764,-0.09819577611378948,0.1375609159481118,-0.02284068546258927,0.12614204359123435,0.2770370427568985,0.15861603567331037
log10(PlanarArea_cm2):Corymbose,1.2810301826226922,0.21568272468878025,1.0729952187574947,0.12116183654111796,-0.6495819658373552,0.3455862143763749,-0.17135816028290257,0.5493539427162497,0.15711207059066387,0.07524185704096066,0.6011547136778812,0.31637497912117524,-0.20803496386519693,0.15291488620895827,-0.02172337701929125,0.14022148739686277,0.2102968376803092,0.17632008974881536
log10(PlanarArea_cm2):Digitate,1.2338543454783915,0.2143855254898082,1.0582388517479102,0.12043312246569116,-0.7593021116558584,0.3435077254240877,-0.4997626506757041,0.5460499159543848,0.11878719497220937,0.07478932345569766,0.5419314132853166,0.3144721778185536,-0.17561549373048,0.1519951970303864,-0.08212473534129368,0.13937814122070355,0.13300919284900947,0.1752596326374965
log10(PlanarArea_cm2):Laminar,1.3921671170566388,0.20464034343632906,1.1261542288142192,0.11495867310155765,-0.6453995299077595,0.3278931203177677,-0.4567245862465438,0.5212284834947786,0.09885492677678134,0.07138967429063797,0.5198378328138944,0.30017742253321344,-0.2660128882424187,0.14508605116836334,-0.0839102658983519,0.133042520579487,0.12779781519933153,0.16729297060293918
log10(PlanarArea_cm2):Massive,1.4553189891614415,0.21742265364000604,0.9519005380931282,0.12213925829562229,0.23280694385384626,0.3483740846631845,0.4280741153491775,0.553785622772134,-0.01591690209199023,0.07584883882681516,0.6417740468319956,0.3189272001505168,-0.503418451068312,0.1541484622312024,-0.07715246374321315,0.1413526648050571,-0.11369491934952519,0.1777424773289026
log10(PlanarArea_cm2):Submassive,1.4007705110252708,0.2775529149995543,1.1512697423629543,0.15591800858048124,-0.8183028687285206,0.4447201848095597,-0.5817503712337309,0.7069401983279238,0.11752671123055272,0.096825542156111,-0.418031673710626,0.4071294899242026,-0.24950076866231646,0.1967796562073445,0.19431848825154105,0.1804450617393238,0.37738313613704216,0.22689881608915194
log10(PlanarArea_cm2):Tabular,1.0374202215111807,0.22287080813810792,0.9281054875603485,0.12519981127084218,-0.6911631943905667,0.3571036066545884,-0.5725642032397376,0.5676623259637235,0.0392460098069944,0.07774945123086725,0.3038983590820792,0.3269188451377223,-0.10931473395083156,0.1580110985472458,0.03148974102672,0.1448946653449431,0.25378631187231565,0.1821963300491743
