"variable","r.squared","adj.r.squared","pred.r.squared","df","df.residual"
"ColonyVol",0.907822725448363,0.899201829267274,0.888436425971344,14,139
"OuterSA",0.959474987883483,0.955684878836614,0.950089649221223,14,139
"Sphericity",0.903451289257388,0.894421553720309,0.880951299410978,14,139
"Convexity",0.884637810350523,0.87384854081496,0.862451530651015,14,139
"Packing",0.615487979540537,0.579526423670227,0.517762436376064,14,139
"FractalDimension",0.622396765958846,0.587081355580896,0.536710291326468,14,139
"SAVol",0.788580239224258,0.76880716807257,0.743365983017827,14,139
"ColonyVol2ndMomentVertScaled",0.278013912305139,0.210490033599864,0.132308208077486,14,139
"ColonySA2ndMomentVertScaled",0.776885834866937,0.756019042444421,0.737315530291972,14,139
