site,aspect,reef_env,reef_zone,dist2crest,bearing2crest,dist2land,bearing2land
Cooks Path,NW,bay,back reef,41.326931,217.538961,39.466418,38.224258
Corner Beach,SW,deep lagoon,back reef,3.001131,36.869898,361.116072,15.145067
Easter Point,SE,outer,reef flat,15.733979,161.565051,56.345636,313.28859
Gnarly Tree,NE,outer,reef flat,14.630481,68.195877,44.940691,236.925059
Horseshoe,SW,lagoon,reef front,13.335874,139.398705,254.778855,159.849291
Lagoon 1,INNER,lagoon,reef flat,6.536351,140.437784,639.498217,353.98441
Lagoon 2,SW,lagoon,back reef,30.987938,44.826513,251.999564,321.4217
Lizard Head,SE,outer,reef flat,10.758249,130.601295,55.21665,283.725354
No Mans Land,SE,outer,reef flat,13.844944,81.027373,82.255802,264.134535
North of Paradise,NE,outer,reef flat,14.49516,77.361883,47.185349,258.404279
North 1,NE,outer,reef flat,11.288088,38.659808,105.150016,178.419821
North 2,NE,outer,reef flat,8.676228,59.534455,121.692969,173.140921
North 3,NW,bay,back reef,20.353185,318.778329,90.786047,126.887781
Osprey,SW,bay,back reef,24.909296,195.642301,197.134621,90.393023
Resort,NW,bay,back reef,26.316368,82.504142,171.175337,128.527436
South Island,SE,outer,reef flat,15.246826,114.904769,182.762,270.393962
Southeast 1,SE,outer,reef flat,21.208491,142.616341,870.649926,236.130383
Trimodal 1,SW,outer,reef flat,6.540069,250.346176,428.318736,328.953093
Turtle,NW,bay,back reef,19.239976,331.254159,20.723627,148.637188
Vickis,SW,deep lagoon,reef front,44.084024,229.972708,765.2707,145.718402
Washing Machine,NE,outer,reef flat,10.964355,40.914383,25.114342,224.604802
